"","LessonId","Submitter1","Title","Abstract","Lesson","Organization","LessonDate","MissionDirectorate","SafetyIssue","Categories","DocNum","Topic","Category","url"
"11",7176,"Pengra, Patricia ","James Webb Space Telescope Program Office Approach","2010 was a significant year for NASAês James Webb Space Telescope Program.  The National Academy of Sciences Astronomy Decadal Survey reaffirmed that completing the Webb Telescope was the nationês top astronomy priority. At nearly the same time, Senator Barbara Mikulski, a long-time Webb advocate, requested an independent review of the successor to the Hubble Space Telescope, as the JWST Program was beginning a replan due to its continual budget troubles.

When an independent panel of experts published its review of the Program in October of 2010, its members recommended the Project shift from focusing on technology development to managing the Webbês life cycle cost and launch readiness date, with the Project getting more visibility inside NASA by reporting directly to the Goddard Center Director and the Program reporting directly to the Agencyês Associate Administrator. This lesson describes changes in the JWST Program Office's approach to management and the resulting positive outcomes, recognizing that the telescope still has years of fabrication, integration, assembly and test ahead.","Once the program was put on a sound foundation for development through launch with the JWST rebaseline in 2011, NASA had to address the management issues identified by the independent review panel. The new JWST Program Director describes changes in five areas that have led, thus far, to considerably improved telescope development performance. The areas are:

  clearly defined authority, responsibility and accountability;  
  improved communication;  
  commitment to the established baseline;  
  improved risk management;  
  independent review and increased program planning and control capability and analysis.  
</ul>","HQ",2013-06-04,"Aeronautics Research, Science, Exploration Systems, Space Operations, ",FALSE,"Program and Project Management, Communications between different offices and contractor personnel, Program planning / development and management, Risk management, ",11,4,"Program and Project Management","https://nen.nasa.gov/web/11/viewall/-/viewall/7176"
"12",7156,"Unknown","Hidden Hazards Associated with Wall/Floor/Ceiling Penetrations","Penetrating into a building subsurface requires special precautions to minimize the potential of coming across a visually hidden hazard, and the consequences should such a hazard be encountered. Recommendations are outlined to avert such a situation.","      Using out of date or unintelligible building drawings to guide potentially hazardous work is comparable to not consulting any drawings at all. This practice actually increases the risk of exposing personnel to hazards since the work is unjustifiably considered to be safe or controlled. Consequently: a. A hazard analysis should be performed when a standard control is compromised or suspect. 

      Critical safety requirements and processes may be undermined and overlooked if they are placed in the appendices of a document, they do not provide sufficient implementation details, or if they reference non-existent documents. 

      Halting a penetration operation and investigating it when there is a change in backpressure or ejection of an unexpected material is a good practice that can prevent a serious injury.     ","ARC",2013-05-28,"Aeronautics Research, Science, Exploration Systems, Space Operations, ",TRUE,"Facilities, Personal Protective Equipment, Advanced planning of safety systems, Configuration Change Control, Maintenance, ",12,15,"Facilities","https://nen.nasa.gov/web/11/viewall/-/viewall/7156"
"13",7076,"Unknown","Logistics and Protocol for Program and Project Life Cycle Reviews","During Program or Project Life Cycle Reviews such as the Ground Systems Development and Operations (GSDO) Program System Requirements Review/ System Definition Review (SRR/SDR) details of review execution can make a big difference in how stakeholders perceive the review. Lessons Learned were identified during execution of GSDO SRR/SDR. Some of these lessons are positive (things done well) and some were areas for improvement.","Providing paper or electronic copies of presentation materials to reviewers prior to the kickoff or Board meetings would allow people to have better access to the material during meetings. Reviewers may have difficulty seeing the presentation. Some reviewers want to read the presentation prior to the meeting. Identifying the Standing Review Board (SRB) needs ahead of time - paper copies of review materials, work areas for their discussions or other accommodations, is helpful. When conducting comment disposition meetings or panels, the review team must ensure that teleconference and online meeting/ web conferencing information are clearly posted on the review portal ahead of time so everyone can easily find this information. Review teams and panels should post agendas on the review portal that show topics and their allotted time slot. Sometimes people are supporting different meetings and activities and they need to know what time a particular subject is slated for discussion so they can ensure they are in the right place at the right time. The best practice would be to have  agendas for these meetings updated to the review portal during each of the meetings. It is important that the review support team members be available to work issues and be responsive to requests for help. Attendees frequently have questions or need information.","KSC",2013-04-29,"Exploration Systems, ",FALSE,"Review boards, Program level review processes, Planning of requirements verification processes, ",13,21,"Review boards","https://nen.nasa.gov/web/11/viewall/-/viewall/7076"
"14",8302,"Le, Minh ","Reducing the Error Rate in Command Files Uplinked to the Spacecraft","  A JPL Operations Working Group convened in November 2010 to review in-flight spacecraft command file errors and identify measures to mitigate the impact on mission operations. The group briefed those projects approaching launch and early cruise operations on their findings and recommendations. Projects entering Phase E, or entering post-launch periods of increased operational tempo, should consider these proactive steps to minimize command file errors. ","  Experience since JPL began tracking command file error trends in 2000 suggests:  
   
    Command file error rates increase during launch and early cruise operations, along with times of increased operations tempo (encounters, orbital operations) and execution of first time events.   ¾   
    Each project needs to proactively balance the risk of command file errors, as compared with other project risks and project resource constraints, in evaluating the recommendations listed below.   
  ","JPL",2013-04-18,"Human Exploration and Operations, Science, ",FALSE,"Integration and Testing, Mission Operations and Ground Support Systems, Safety and Mission Assurance, Flight Operations, Ground Equipment, Ground Operations, Hardware, Software, Spacecraft, Software Engineering, Ground support systems, Mission control Planning, Mission operations systems, Planetary Operations, Training and simulation systems, Configuration Change Control, Early requirements and standards definition, Impact of human factors on systems requirements and designs, Product Assurance, ",14,9,"Integration and Testing","https://nen.nasa.gov/web/11/viewall/-/viewall/8302"
"15",7096,"Hull, Donald ","Lessons Learned from a Structural Assessment of the International Space Station European-Manufactured Modules","After a NASA Engineering and Safety Center (NESC) Assessment of the use of International Space Station (ISS) European-manufactured modules that did not receive post-proof weld non-destructive evaluation (NDE), significant lessons were learned relating to the use of Leak Before Burst (LBB) criteria versus safe-life criteria as a design tool for complex fracture critical welded structures.","Complex fracture critical welded structures should be assessed using safe-life analysis techniques that utilize post-proof NDE results and incorporate weld drawing/specification allowables.","LaRC",2013-04-16,"Exploration Systems, Space Operations, ",FALSE,"Pressure Vessels, Spacecraft, Crew Survival Systems, Environmental Control and Life Support Systems, Orbiting Vehicles, Ground processing and manifesting, DDT/E, Affect of Cultural factors on long-term human and robotic missions, Reliability, Engineering design and project processes and standards, Level II/III requirements definition, Long term sustainability and maintenance planning, ",15,35,"Pressure Vessels","https://nen.nasa.gov/web/11/viewall/-/viewall/7096"
"16",7036,"Hull, Donald ","Orbital Express Rendezvous Lessons Learned","During the time period between late calendar year (CY) 2005 and the middle of CY 2007, a member of the NASA Engineering and Safety Center (NESC) Guidance Navigation and Control (GN&C) Technical Discipline Team (TDT) provided specialized engineering technical support to the Defense Advanced Research Project Agency (DARPA) Orbital Express (OE) Demonstration System mission. An NESC report, A Summary of the Rendezvous, Proximity Operations, Docking, and Undocking (RPODU) Lessons Learned from the Defense Advanced Research Project Agency (DARPA) Orbital Express (OE) Demonstration System Mission, was published at the conclusion of this assignment.","The following lessons learned summarize the knowledge or understanding that the Automated Rendezvous and Docking (AR&D) community of practice (COP) has gained from the OE experience. For a more detailed explanation of each Lesson, the NESC final report referenced in the abstract should be reviewed.        System designers and operators should be mindful of implicit assumptions concerning the availability of a navigation state. 
       Infrared (IR) sensors can enhance system robustness to unanticipated lighting variations. 
       A coupling between sensor and navigation software is susceptible to mutually reinforcing problems. 
      To achieve an effective sensor calibration on-orbit, the target vehicle should not be present in the sensorsê fields of view, and possible sources of image corruption should be included.
       Situational awareness imagery can be critically important in aiding the ground operations teamês recovery from an abort, and since ground-based assets provide limited coverage, providing such data via the Tracking and Data Relay Satellite System (TDRSS) should be a system capability.
       The navigation filter must be able to identify and screen out erroneous sensor data without affecting the filterês processing of valid sensor data.      ","LaRC",2013-04-09,"Exploration Systems, Space Operations, ",FALSE,"Administration / Organization, Rendezvous/Docking, Mission operations systems, Vehicle concepts, Configuration Change Control, Human factors planning, ",16,6,"Administration / Organization","https://nen.nasa.gov/web/11/viewall/-/viewall/7036"
"17",7016,"Laws, Richard ","Challenges Preparing Server Hard Drives for Excessing: Data Sanitation and Verification","Data Sanitation and Verification for hard drives prior to excessing can be performed several different ways. The current method has some challenges and required workarounds.","Performing data sanitation and verification can be done many ways. Using the DBAN software directly has several issues and requires workarounds. The DBAN.iso image would not run without errors. Searching forums online located several workarounds. We received a 'No drives found' message which required us to edit the script called Main, search for SD_FOUND and modify the /dev section to say /dev/cciss. Then, modify the sd[a-z] to say c0d[0-9]. At this point, the Main script would run on some servers. Some servers would fail with the message /dev/cciss/c0d0 (process crash). We researched several workarounds and found that the best solution was to load the shareware software Parted Magic before running DBAN. This combination ran without problems and the disks were validated to have been sanitized.","JSC",2013-03-15,"Space Operations, ",FALSE,"Security, Ground support systems, ",17,17,"Security","https://nen.nasa.gov/web/11/viewall/-/viewall/7016"
"18",6977,"Unknown","Tools Used During Program and Project Life Cycle Reviews","During Program or Project Life Cycle Reviews such as the Ground Systems Development and Operations (GSDO) Program System Requirements Review/System Definition Review (SRR/SDR) the choice of review tools and how they can be used is important. Easy to use, intuitive tools for collecting and disposition of comments can help with review success.","   Positive finding: Having a centralized portal for all materials related to the lifecycle review is important. This portal should be opened prior to review kickoff. 

  Area for improvement: the review portal needs to be updated frequently during the course of the review with meeting minutes and meeting agendas (especially for lower level panels). 
     Area for improvement: The review portal should have a document search capability to make it easy to locate products to be reviewed.   </ul>
 
     Positive finding: A tool for collecting, updating and dispositioning comments was used for the GSDO SRR/SDR. It is important that this tool be very easy and intuitive for all commenters, comment sponsors and administrators. 
  Area for improvement: It is important that comment status and disposition be immediately updated and available at the review portal. Once a Board or Panel makes decisions the comment tool should be updated the same day if possible. A very useful function for this tool to have is the ability to sort comments by disposition (accepted, withdrawn, etc.) as well as comment status (sponsored, not sponsored etc.).    </ul>   </ul>","KSC",2013-03-12,"Exploration Systems, Space Operations, ",FALSE,"Program level review processes, ",18,7,"Program level review processes","https://nen.nasa.gov/web/11/viewall/-/viewall/6977"
"19",8202,"Le, Minh ","Unexpected High Peak Moment Loads During Vibration Test of the MSL Descent Stage (Export Version)","  The text has been redacted for International Traffic in Arms Regulations (ITAR) compliance. ","  The text has been redacted for International Traffic in Arms Regulations (ITAR) compliance.¾ ","JPL",2013-02-26,"Aeronautics Research, Human Exploration and Operations, Science, ",TRUE,"Integration and Testing, Safety and Mission Assurance, Flight Equipment, Ground Equipment, Ground Operations, Hardware, Payloads, Safety & Mission Assurance, Spacecraft, Test & Verification, Test Article, Test Facility, Advanced planning of safety systems, Product Assurance, Planning of requirements verification processes, ",19,16,"Integration and Testing","https://nen.nasa.gov/web/11/viewall/-/viewall/8202"
"20",6937,"Hull, Donald ","Lessons Learned from Evaluation of LoctiteÂ as a Secondary Locking Feature for ISS Fasteners","An independent review of the sensitivities of Loctite&amp;reg; 242 and 271 for use as a secondary locking feature on International Space Station (ISS) and flight vehicle applications yielded eight Lessons Learned.","Loctite&amp;reg; 242 and 271 provide resistance to preload reduction (i. e., vibration loosening) as least as good as that provided by locking inserts; military and industry specifications regarding the application and use of liquid locking compounds (LLCs) are inconsistent and contradictory; proper application processes must be developed for each unique application using LLCs; and the primary factors that affect LLC cure include: substrate cleanliness; proper substrate surface activation; thread class; hole type; and LCC application to both the female and male substrate surfaces. 1) When Loctite&amp;reg; cures sufficiently, it provides secondary locking of threaded fasteners at least as good as prevailing torque locking fasteners. 2) Loctite&amp;reg; should be applied to both male and female threads in sufficient quantity to eliminate air in the thread gap (cure depends on absence of oxygen). 3) Activator / primer should be used prior to application of Loctite&amp;reg; threadlocker (improves cure and reduces cure time when used with non-active thread material). 4) Threaded surfaces should be cleaned of grease and contaminates before application of Loctite&amp;reg; activator / primer and Loctite&amp;reg; thread locker. 5) Loctite&amp;reg; should not be used with fastener threads coated with dry film lubricant (DFL). 6) Loctite&amp;reg; cure time is longer when used with blind holes than with thru holes. 7) Tighter hole tolerance improves Loctite&amp;reg; breakaway torque. 8) Loctite&amp;reg; cure is not a function of preload.","LaRC",2013-02-26,"Aeronautics Research, Science, Exploration Systems, Space Operations, ",FALSE,"Aerospace Safety Advisory Panel, Crew Survival Systems, Entry Systems, Environmental Control and Life Support Systems, Extra-Vehicular Activity/Mobility/Space Suits, Lander Systems, Launch Systems, On-Orbit Assembly, Orbiting Vehicles, Propulsion, Rendezvous/Docking, Robotics, Simulators and Training Systems, Spacecraft and Spacecraft Instruments, Crew Operations, Ground processing and manifesting, Ground support systems, Launch support systems, Logistics and maintenance, Lunar Operations, Medical/Health Operations, Planetary Operations, Training and simulation systems, Configuration Change Control, Maintenance, Product Assurance, Quality, Reliability, ",20,25,"Aerospace Safety Advisory Panel","https://nen.nasa.gov/web/11/viewall/-/viewall/6937"
"21",8301,"Le, Minh ","Adequately Prepare for the Repurposing of Spacecraft (Export Version)","  The repurposing of the Stardust and Deep Impact spacecraft and ground system resources for new missions created additional costs and unexpected burdens for mission operations. When repurposing hardware already in flight, perform an inheritance review to examine the capabilities and limitations of the system and other primary mission resources against the operations needs of the mission. ","  The text has been redacted for International Traffic in Arms Regulations (ITAR) compliance.¾ ","JPL",2013-02-13,"Human Exploration and Operations, ",FALSE,"Flight Operations, Hardware, Payloads, Risk Management / Assessment, Safety & Mission Assurance, Software, Spacecraft, Ground support systems, Mission control Planning, Mission operations systems, Review boards, Review systems and boards, Level II/III requirements definition, Mission definition and planning, ",21,16,"Flight Operations","https://nen.nasa.gov/web/11/viewall/-/viewall/8301"
"22",6936,"Unknown","Cost Estimate of the James Webb Space Telescope","A special Program Management Council review was conducted for the James Webb Space Telescope (JWST) replan. The project provided a Joint Confidence Level (JCL) tutorial, but there was insufficient time for that tutorial, and many cost estimate questions took time to answer (questions that ranged from the basis of the JCL, why NASA is using the methodology, to detailed implementation questions).  Training sessions and improved documentation were recommended.","The Stratospheric Observatory for Infrared Astronomy (SOFIA) JCL how-to manual prepared by the SOFIA program and briefed at the PM Challenge, was very helpful to the JWST project, particularly in the details of how to run the JCL software. The JWST program also prepared a JCL how-to manual. The Standing Review Board schedule analyst made the most valuable contributions in the SRB review of the JCL, by providing suggested changes to the schedule logic network and interconnections.","HQ",2013-01-19,"Aeronautics Research, Science, Exploration Systems, Space Operations, ",FALSE,"Requirements critical to costing and cost credibility, Program level review processes, Planning of requirements verification processes, Systems analysis - cost analysis, ",22,10,"Requirements critical to costing and cost credibility","https://nen.nasa.gov/web/11/viewall/-/viewall/6936"
"23",7136,"Unknown","International Space Station (ISS) Hardware Disposition Project","The International Space Station (ISS) Hardware Disposition Project occurred over a twenty-two month period (Nov 2010 _ Sep 2012) and resulted in the disposition of over 971 Program Model Numbers (PMN)/systems, which was 10% over the planned baseline of 880. A strong relationship with partners, along with early inclusion of stakeholders, facilitated timely disposition processing including the reduction of screening times.","    It was important to pursue and implement Lean/Accelerated Improvement workshops to develop tools and processes that create a high performance team. Each team member had to become familiar with each disciplineês processes; this allowed for increased productivity for the entire team as a whole.        Continual early coordination with the appropriate Program and Configuration management personnel was paramount to ensure timely release of Change Revision (CR) documentation. This was required for the downgrade of the flight hardware before it could actually undergo disposition.        Realize flexibility and change is inevitable! The Team remained flexible throughout the life of the project as additional PMNs/Systems were added for disposition.  Realize process sequences may change.  For example, the IDT discovered screening should be done earlier in the process to avoid possible re-work.   </ul>","KSC",2012-12-01,"Exploration Systems, ",FALSE,"Disposal, Configuration control and data management, Mission concepts and life-cycle planning, Business processes, Configuration and data management, Program planning / development and management, ",23,7,"Disposal","https://nen.nasa.gov/web/11/viewall/-/viewall/7136"
"24",6856,"Unknown","Closed-Loop Infusion of Lessons Learned into Center Procedures & Training","Independent assessments of the NASA lessons learned process have found that NASA programs and projects fail to systematically make use of the NASA lessons learned repository. However, even if NASA projects do conscientiously assess their compliance with lesson learned recommendations, there is no assurance that the proper project staff member will read and apply a key lesson learned at the optimal point in the project lifecycle. Therefore, such project activity should be augmented by efforts at the institutional level to achieve closed-loop infusion of lesson learned recommendations into the key NASA Center standards and processes by which work is always done.","Independent assessments of the NASA lessons learned process have reported that NASA programs and projects fail to systematically make use of the NASA lessons learned repository. Although major JPL projects do conduct self-assessments of project compliance with the lesson learned recommendations, it is difficult to assure that the appropriate subject matter expert applies a key lesson learned at the specific point in time best suited to lesson learning by a project. However, self-assessments can be augmented by active measures at the institutional level to infuse NASA lessons learned into key engineering standards and processes.","JPL",2012-11-20,"Aeronautics Research, Science, Exploration Systems, Space Operations, ",FALSE,"NASA Standards, Spacecraft and Spacecraft Instruments, Early requirements and standards definition, Engineering design and project processes and standards, Level II/III requirements definition, ",24,17,"NASA Standards","https://nen.nasa.gov/web/11/viewall/-/viewall/6856"
